ContactId,PurchaseId,ProductId,PurchasedOn,TotalPrice,ActivityTypeDisplay,Subject
CNTID_1022,OPID_1054,ProdID_1054,2018-04-16,195,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1055,ProdID_1055,2018-10-12,124,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1056,ProdID_1056,2018-10-24,232,OnlinePurchase,Purchased a product online
CNTID_1023,OPID_1057,ProdID_1057,2018-02-11,159,OnlinePurchase,Purchased a product online
CNTID_1023,OPID_1058,ProdID_1058,2018-11-29,138,OnlinePurchase,Purchased a product online
CNTID_1024,OPID_1059,ProdID_1059,2018-04-08,162,OnlinePurchase,Purchased a product online
CNTID_1024,OPID_1060,ProdID_1060,2018-09-04,112,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1061,ProdID_1061,2017-01-12,248,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1062,ProdID_1062,2018-03-29,174,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1063,ProdID_1063,2018-08-20,125,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1064,ProdID_1064,2018-08-31,107,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1065,ProdID_1065,2018-12-17,95,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1066,ProdID_1066,2019-02-01,51,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1067,ProdID_1067,2019-02-03,82,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1068,ProdID_1068,2017-04-12,176,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1069,ProdID_1069,2017-10-28,248,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1070,ProdID_1070,2018-08-06,200,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1071,ProdID_1071,2018-04-04,173,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1072,ProdID_1072,2018-07-21,250,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1073,ProdID_1073,2019-01-17,120,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1074,ProdID_1074,2017-08-24,150,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1075,ProdID_1075,2017-11-17,149,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1076,ProdID_1076,2019-01-19,121,OnlinePurchase,Purchased a product online
CNTID_1032,OPID_1077,ProdID_1077,2017-09-30,240,OnlinePurchase,Purchased a product online
CNTID_1032,OPID_1078,ProdID_1078,2018-11-10,249,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1079,ProdID_1079,2018-02-13,198,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1080,ProdID_1080,2018-08-06,40,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1081,ProdID_1081,2018-08-17,201,OnlinePurchase,Purchased a product online
CNTID_1034,OPID_1082,ProdID_1082,2018-01-13,95,OnlinePurchase,Purchased a product online
CNTID_1035,OPID_1083,ProdID_1083,2018-06-01,152,OnlinePurchase,Purchased a product online
CNTID_1035,OPID_1084,ProdID_1084,2018-11-28,96,OnlinePurchase,Purchased a product online
CNTID_1036,OPID_1085,ProdID_1085,2017-09-15,98,OnlinePurchase,Purchased a product online
CNTID_1038,OPID_1086,ProdID_1086,2018-11-06,242,OnlinePurchase,Purchased a product online
CNTID_1038,OPID_1087,ProdID_1087,2018-11-07,203,OnlinePurchase,Purchased a product online
CNTID_1041,OPID_1088,ProdID_1088,2017-07-02,118,OnlinePurchase,Purchased a product online
CNTID_1042,OPID_1089,ProdID_1089,2019-01-05,47,OnlinePurchase,Purchased a product online
CNTID_1042,OPID_1090,ProdID_1090,2019-01-16,210,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1091,ProdID_1091,2019-01-14,83,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1092,ProdID_1092,2019-01-22,244,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1093,ProdID_1093,2019-02-06,82,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1094,ProdID_1094,2019-02-06,113,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1095,ProdID_1095,2018-02-01,104,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1096,ProdID_1096,2018-08-04,72,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1097,ProdID_1097,2018-10-20,187,OnlinePurchase,Purchased a product online
CNTID_1046,OPID_1098,ProdID_1098,2018-12-06,209,OnlinePurchase,Purchased a product online
CNTID_1046,OPID_1099,ProdID_1099,2018-12-21,250,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1100,ProdID_1100,2017-06-08,137,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1101,ProdID_1101,2019-01-22,117,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1102,ProdID_1102,2019-01-25,139,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1103,ProdID_1103,2019-02-01,100,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1104,ProdID_1104,2019-02-05,175,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1105,ProdID_1105,2017-05-27,79,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1106,ProdID_1106,2017-10-14,74,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1107,ProdID_1107,2018-07-14,170,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1108,ProdID_1108,2018-11-09,56,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1109,ProdID_1109,2017-01-03,213,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1110,ProdID_1110,2018-09-16,47,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1111,ProdID_1111,2019-01-10,249,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1112,ProdID_1112,2017-11-22,31,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1113,ProdID_1113,2018-12-02,47,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1114,ProdID_1114,2019-01-07,46,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1115,ProdID_1115,2017-09-25,196,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1116,ProdID_1116,2018-02-25,130,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1117,ProdID_1117,2018-09-10,207,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1118,ProdID_1118,2017-12-23,73,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1119,ProdID_1119,2018-01-03,219,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1120,ProdID_1120,2018-05-14,209,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1121,ProdID_1121,2019-02-03,173,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1122,ProdID_1122,2019-02-04,117,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1123,ProdID_1123,2018-06-21,190,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1124,ProdID_1124,2018-11-05,133,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1125,ProdID_1125,2018-11-19,81,OnlinePurchase,Purchased a product online
CNTID_1055,OPID_1126,ProdID_1126,2018-07-10,201,OnlinePurchase,Purchased a product online
CNTID_1056,OPID_1127,ProdID_1127,2017-10-01,42,OnlinePurchase,Purchased a product online
CNTID_1056,OPID_1128,ProdID_1128,2017-10-19,182,OnlinePurchase,Purchased a product online
CNTID_1058,OPID_1129,ProdID_1129,2017-06-07,229,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1130,ProdID_1130,2017-12-09,105,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1131,ProdID_1131,2018-09-29,173,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1132,ProdID_1132,2018-12-13,210,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1133,ProdID_1133,2017-05-26,134,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1134,ProdID_1134,2018-06-07,133,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1135,ProdID_1135,2019-01-28,230,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1136,ProdID_1136,2019-02-03,154,OnlinePurchase,Purchased a product online
CNTID_1063,OPID_1137,ProdID_1137,2019-01-09,189,OnlinePurchase,Purchased a product online
CNTID_1063,OPID_1138,ProdID_1138,2019-01-29,150,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1139,ProdID_1139,2017-05-16,208,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1140,ProdID_1140,2018-04-02,175,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1141,ProdID_1141,2018-11-12,152,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1142,ProdID_1142,2018-11-12,200,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1143,ProdID_1143,2018-05-18,176,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1144,ProdID_1144,2018-12-07,157,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1145,ProdID_1145,2018-12-14,86,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1146,ProdID_1146,2018-12-14,69,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1147,ProdID_1147,2017-08-18,104,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1148,ProdID_1148,2018-12-02,177,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1149,ProdID_1149,2019-01-22,167,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1150,ProdID_1150,2018-04-04,150,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1151,ProdID_1151,2018-11-23,211,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1152,ProdID_1152,2019-01-01,100,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1153,ProdID_1153,2019-01-21,151,OnlinePurchase,Purchased a product online
CNTID_1069,OPID_1154,ProdID_1154,2018-04-29,81,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1155,ProdID_1155,2018-07-15,214,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1156,ProdID_1156,2018-09-09,178,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1157,ProdID_1157,2018-09-29,184,OnlinePurchase,Purchased a product online
CNTID_1071,OPID_1158,ProdID_1158,2018-11-18,208,OnlinePurchase,Purchased a product online
CNTID_1071,OPID_1159,ProdID_1159,2018-12-19,143,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1160,ProdID_1160,2018-05-17,145,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1161,ProdID_1161,2018-08-24,191,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1162,ProdID_1162,2018-11-27,104,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1163,ProdID_1163,2018-12-23,186,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1164,ProdID_1164,2018-06-02,70,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1165,ProdID_1165,2018-10-15,66,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1166,ProdID_1166,2018-12-09,217,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1167,ProdID_1167,2018-12-17,33,OnlinePurchase,Purchased a product online
CNTID_1074,OPID_1168,ProdID_1168,2018-02-24,163,OnlinePurchase,Purchased a product online
CNTID_1074,OPID_1169,ProdID_1169,2018-02-27,174,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1170,ProdID_1170,2017-04-06,173,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1171,ProdID_1171,2017-10-15,247,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1172,ProdID_1172,2018-03-21,132,OnlinePurchase,Purchased a product online
CNTID_1076,OPID_1173,ProdID_1173,2017-03-02,215,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1174,ProdID_1174,2017-08-23,116,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1175,ProdID_1175,2017-12-05,91,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1176,ProdID_1176,2018-08-13,98,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1177,ProdID_1177,2018-12-19,204,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1178,ProdID_1178,2017-02-19,99,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1179,ProdID_1179,2017-10-10,222,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1180,ProdID_1180,2018-03-02,157,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1181,ProdID_1181,2017-04-16,150,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1182,ProdID_1182,2018-07-29,47,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1183,ProdID_1183,2018-12-13,103,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1184,ProdID_1184,2019-01-30,47,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1185,ProdID_1185,2019-01-30,69,OnlinePurchase,Purchased a product online
CNTID_1082,OPID_1186,ProdID_1186,2017-09-23,85,OnlinePurchase,Purchased a product online
CNTID_1082,OPID_1187,ProdID_1187,2018-06-16,70,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1188,ProdID_1188,2017-12-03,139,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1189,ProdID_1189,2018-04-01,64,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1190,ProdID_1190,2018-10-24,99,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1191,ProdID_1191,2018-12-22,114,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1192,ProdID_1192,2017-04-08,74,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1193,ProdID_1193,2017-07-03,45,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1194,ProdID_1194,2018-02-04,183,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1195,ProdID_1195,2018-05-01,139,OnlinePurchase,Purchased a product online
CNTID_1086,OPID_1196,ProdID_1196,2018-06-03,49,OnlinePurchase,Purchased a product online
CNTID_1086,OPID_1197,ProdID_1197,2018-08-25,113,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1198,ProdID_1198,2017-04-19,51,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1199,ProdID_1199,2017-12-23,65,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1200,ProdID_1200,2018-11-13,132,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1201,ProdID_1201,2018-10-28,49,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1202,ProdID_1202,2018-12-27,44,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1203,ProdID_1203,2019-01-18,109,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1204,ProdID_1204,2019-02-06,147,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1205,ProdID_1205,2019-02-06,50,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1206,ProdID_1206,2017-04-09,84,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1207,ProdID_1207,2018-02-03,243,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1208,ProdID_1208,2018-08-02,209,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1209,ProdID_1209,2018-11-29,163,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1210,ProdID_1210,2018-12-24,192,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1211,ProdID_1211,2018-11-19,47,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1212,ProdID_1212,2019-01-09,108,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1213,ProdID_1213,2019-01-21,152,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1214,ProdID_1214,2019-01-29,106,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1215,ProdID_1215,2017-07-21,182,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1216,ProdID_1216,2018-11-13,198,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1217,ProdID_1217,2018-12-19,52,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1218,ProdID_1218,2018-12-20,147,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1219,ProdID_1219,2019-01-23,113,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1220,ProdID_1220,2019-02-04,209,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1221,ProdID_1221,2019-02-05,36,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1222,ProdID_1222,2019-02-05,108,OnlinePurchase,Purchased a product online
CNTID_1094,OPID_1223,ProdID_1223,2017-01-08,71,OnlinePurchase,Purchased a product online
CNTID_1094,OPID_1224,ProdID_1224,2017-06-02,247,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1225,ProdID_1225,2018-09-27,99,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1226,ProdID_1226,2018-10-27,213,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1227,ProdID_1227,2018-11-27,31,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1228,ProdID_1228,2019-01-23,232,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1229,ProdID_1229,2019-02-01,69,OnlinePurchase,Purchased a product online
CNTID_1096,OPID_1230,ProdID_1230,2018-06-09,86,OnlinePurchase,Purchased a product online
CNTID_1098,OPID_1231,ProdID_1231,2017-09-23,132,OnlinePurchase,Purchased a product online
CNTID_1099,OPID_1232,ProdID_1232,2017-05-13,68,OnlinePurchase,Purchased a product online
CNTID_1099,OPID_1233,ProdID_1233,2018-05-09,110,OnlinePurchase,Purchased a product online
CNTID_1099,OPID_1234,ProdID_1234,2018-05-23,216,OnlinePurchase,Purchased a product online
CNTID_1101,OPID_1235,ProdID_1235,2018-06-24,102,OnlinePurchase,Purchased a product online
CNTID_1101,OPID_1236,ProdID_1236,2019-02-03,134,OnlinePurchase,Purchased a product online
CNTID_1101,OPID_1237,ProdID_1237,2019-02-06,166,OnlinePurchase,Purchased a product online
CNTID_1102,OPID_1238,ProdID_1238,2018-09-08,54,OnlinePurchase,Purchased a product online
CNTID_1102,OPID_1239,ProdID_1239,2018-12-10,201,OnlinePurchase,Purchased a product online
CNTID_1103,OPID_1240,ProdID_1240,2017-09-07,147,OnlinePurchase,Purchased a product online
CNTID_1105,OPID_1241,ProdID_1241,2017-03-14,31,OnlinePurchase,Purchased a product online
CNTID_1106,OPID_1242,ProdID_1242,2018-12-09,176,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1243,ProdID_1243,2017-01-23,152,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1244,ProdID_1244,2018-11-22,114,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1245,ProdID_1245,2018-12-28,227,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1246,ProdID_1246,2019-01-27,164,OnlinePurchase,Purchased a product online
CNTID_1107,OPID_1247,ProdID_1247,2019-01-30,216,OnlinePurchase,Purchased a product online
CNTID_1108,OPID_1248,ProdID_1248,2018-05-29,131,OnlinePurchase,Purchased a product online
CNTID_1108,OPID_1249,ProdID_1249,2018-07-14,230,OnlinePurchase,Purchased a product online
CNTID_1109,OPID_1250,ProdID_1250,2018-09-15,31,OnlinePurchase,Purchased a product online
CNTID_1109,OPID_1251,ProdID_1251,2018-10-10,31,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1252,ProdID_1252,2017-06-30,83,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1253,ProdID_1253,2018-07-09,191,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1254,ProdID_1254,2018-08-20,31,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1255,ProdID_1255,2018-12-28,99,OnlinePurchase,Purchased a product online
CNTID_1110,OPID_1256,ProdID_1256,2019-01-01,98,OnlinePurchase,Purchased a product online
CNTID_1111,OPID_1257,ProdID_1257,2017-12-19,150,OnlinePurchase,Purchased a product online
CNTID_1111,OPID_1258,ProdID_1258,2018-09-07,62,OnlinePurchase,Purchased a product online
CNTID_1111,OPID_1259,ProdID_1259,2018-11-26,84,OnlinePurchase,Purchased a product online
CNTID_1112,OPID_1260,ProdID_1260,2017-11-03,65,OnlinePurchase,Purchased a product online
CNTID_1112,OPID_1261,ProdID_1261,2017-11-06,148,OnlinePurchase,Purchased a product online
CNTID_1112,OPID_1262,ProdID_1262,2018-11-21,209,OnlinePurchase,Purchased a product online
CNTID_1113,OPID_1263,ProdID_1263,2017-05-04,50,OnlinePurchase,Purchased a product online
CNTID_1113,OPID_1264,ProdID_1264,2017-11-15,115,OnlinePurchase,Purchased a product online
CNTID_1114,OPID_1265,ProdID_1265,2018-10-20,232,OnlinePurchase,Purchased a product online
CNTID_1114,OPID_1266,ProdID_1266,2018-12-25,54,OnlinePurchase,Purchased a product online
CNTID_1114,OPID_1267,ProdID_1267,2018-12-31,216,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1268,ProdID_1268,2018-06-26,39,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1269,ProdID_1269,2018-12-02,185,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1270,ProdID_1270,2018-12-31,84,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1271,ProdID_1271,2019-01-25,225,OnlinePurchase,Purchased a product online
CNTID_1115,OPID_1272,ProdID_1272,2019-01-27,119,OnlinePurchase,Purchased a product online
CNTID_1117,OPID_1273,ProdID_1273,2017-03-02,153,OnlinePurchase,Purchased a product online
CNTID_1117,OPID_1274,ProdID_1274,2019-01-06,231,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1275,ProdID_1275,2018-08-08,174,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1276,ProdID_1276,2018-11-21,179,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1277,ProdID_1277,2019-01-25,229,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1278,ProdID_1278,2019-01-28,103,OnlinePurchase,Purchased a product online
CNTID_1118,OPID_1279,ProdID_1279,2019-02-04,187,OnlinePurchase,Purchased a product online
CNTID_1119,OPID_1280,ProdID_1280,2018-03-28,88,OnlinePurchase,Purchased a product online
